datetime,temp,humidity,windspeed,conditions,description
2023-01-01,27.6,56.2,17,Partially cloudy,Partly cloudy throughout the day.
2023-01-02,24,64.8,26,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
2023-01-03,17.9,68,18.7,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.
2023-01-04,15.6,67.3,22.7,"Rain, Overcast",Cloudy skies throughout the day with rain.
2023-01-05,18.2,68.4,21,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
2023-01-06,19.3,57.2,18.8,Clear,Clear conditions throughout the day.
2023-01-07,21.6,56.8,16.7,Clear,Clear conditions throughout the day.
2023-01-08,23.6,52.2,13.1,Clear,Clear conditions throughout the day.
2023-01-09,20.9,65.6,18.6,Partially cloudy,Partly cloudy throughout the day.
2023-01-10,19,69.1,18.6,Partially cloudy,Partly cloudy throughout the day.
2023-01-11,22.3,70.5,15.1,Clear,Partly cloudy throughout the day.
2023-01-12,20.6,82.8,15.3,Partially cloudy,Partly cloudy throughout the day.
2023-01-13,21.3,79.2,16.8,Partially cloudy,Partly cloudy throughout the day.
2023-01-14,27.4,59.2,25.7,Partially cloudy,Partly cloudy throughout the day.
2023-01-15,19.3,66.2,18.5,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.
2023-01-16,20.4,65.7,14,Partially cloudy,Partly cloudy throughout the day.
2023-01-17,27.2,57.4,22.2,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.
2023-01-18,18.5,81.7,18.7,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.
2023-01-19,16.4,53.1,19.3,Overcast,Cloudy skies throughout the day.
2023-01-20,17.9,57.7,18.4,Partially cloudy,Partly cloudy throughout the day.
2023-01-21,18.6,74.4,17.2,Partially cloudy,Partly cloudy throughout the day.
2023-01-22,20.2,77.9,20.5,Partially cloudy,Partly cloudy throughout the day.
2023-01-23,22.2,64.7,12.9,Partially cloudy,Partly cloudy throughout the day.
2023-01-24,21.3,69.5,15.3,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.
2023-01-25,22,72,18.6,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.
2023-01-26,18.8,63.1,17.2,Partially cloudy,Partly cloudy throughout the day.
2023-01-27,19.4,60.3,13.2,Partially cloudy,Partly cloudy throughout the day.
2023-01-28,23,57.1,22.4,Partially cloudy,Partly cloudy throughout the day.
2023-01-29,20.5,81,12.5,"Rain, Overcast",Cloudy skies throughout the day with rain.
2023-01-30,19,66.6,24.1,Overcast,Cloudy skies throughout the day.
2023-01-31,18.8,64.9,15.1,Partially cloudy,Partly cloudy throughout the day.
2023-02-01,17.1,65.6,15.2,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.
2023-02-02,15.4,60,28.3,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.
2023-02-03,13.5,61.8,18.7,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
2023-02-04,16,68.7,17.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
2023-02-05,16.9,68,11.4,Partially cloudy,Partly cloudy throughout the day.
2023-02-06,17.7,70,15,Partially cloudy,Partly cloudy throughout the day.
2023-02-07,17.8,68.2,17,Partially cloudy,Partly cloudy throughout the day.
2023-02-08,18.3,66.3,15.3,Partially cloudy,Partly cloudy throughout the day.
2023-02-09,19.6,73.9,15.1,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.
2023-02-10,20.7,78.2,16.8,Partially cloudy,Partly cloudy throughout the day.
2023-02-11,20.6,75.9,22.6,Partially cloudy,Partly cloudy throughout the day.
2023-02-12,18.3,61.4,22.6,Partially cloudy,Partly cloudy throughout the day.
2023-02-13,17.4,55.5,17.2,Partially cloudy,Partly cloudy throughout the day.
2023-02-14,17.3,67.5,17.2,Partially cloudy,Partly cloudy throughout the day.
2023-02-15,22.1,58.6,17.6,Partially cloudy,Partly cloudy throughout the day.
2023-02-16,26.9,44.6,18.7,Partially cloudy,Partly cloudy throughout the day.
2023-02-17,26.7,49.5,24.2,Partially cloudy,Partly cloudy throughout the day.
2023-02-18,19.3,66.4,17.1,Partially cloudy,Partly cloudy throughout the day.
2023-02-19,20.1,68,13.6,Partially cloudy,Partly cloudy throughout the day.
2023-02-20,19.4,74.2,16.8,Partially cloudy,Partly cloudy throughout the day.
2023-02-21,19.1,63.2,19,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.
2023-02-22,21.4,57.5,16.5,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.
2023-02-23,24.6,45.8,27.6,Partially cloudy,Partly cloudy throughout the day.
2023-02-24,25.7,42.1,26,Partially cloudy,Partly cloudy throughout the day.
2023-02-25,22.9,52.2,17.3,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.
2023-02-26,18.8,69.1,13.4,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.
2023-02-27,17.9,79.3,16.7,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.
2023-02-28,16.6,77.7,11.7,"Rain, Overcast",Cloudy skies throughout the day with rain.
2023-03-01,17.1,72.3,15.3,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
2023-03-02,17.6,69.2,15.4,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.
2023-03-03,17.1,75,15.6,Partially cloudy,Partly cloudy throughout the day.
2023-03-04,21.4,64.5,18.3,Partially cloudy,Partly cloudy throughout the day.
2023-03-05,22.7,61.5,23.1,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.
2023-03-06,19.8,53.6,17.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
2023-03-07,19.1,47,24.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.
2023-03-08,15.3,57.2,15,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
2023-03-09,16.7,58.7,15,Partially cloudy,Partly cloudy throughout the day.
2023-03-10,18.6,65.3,13.3,Partially cloudy,Partly cloudy throughout the day.
